A4o,56.756,37.125,27.117,21.264,17.528,14.816,12.684,11.169,9.866
A3o,55.874,36.148,26.418,20.567,16.874,14.332,12.375,10.908,9.592
A2o,54.955,35.25,25.437,19.846,16.345,13.787,11.884,10.389,9.191
KQo,61.456,44.296,35.135,29.245,25.019,21.781,19.08,16.915,15.065
KJo,60.472,43.069,33.624,27.688,23.485,20.3,17.705,15.655,13.999
KTo,59.743,42.012,32.41,26.471,22.269,19.132,16.687,14.639,13.081
K9o,57.734,39.187,29.496,23.53,19.451,16.458,14.125,12.276,10.841
K8o,55.967,36.986,27.106,21.265,17.461,14.582,12.472,10.693,9.422
K7o,55.152,35.916,26.148,20.471,16.633,13.852,11.821,10.176,8.947
K6o,54.188,34.854,25.292,19.587,15.932,13.239,11.257,9.759,8.499
K5o,53.317,33.983,24.384,18.824,15.356,12.755,10.866,9.457,8.224
K4o,52.327,32.981,23.588,18.202,14.75,12.255,10.509,9.068,8.068
K3o,51.471,31.975,22.805,17.656,14.265,11.971,10.245,8.904,7.829
K2o,50.468,31.261,22.101,17.083,13.881,11.613,9.969,8.708,7.676
QJo,58.066,41.351,32.497,27,22.835,19.693,17.313,15.367,13.707
QTo,57.258,40.132,31.251,25.668,21.646,18.701,16.343,14.434,12.901
Q9o,55.359,37.532,28.459,22.787,18.876,16.011,13.811,12.108,10.649
Q8o,53.638,35.288,26.145,20.611,16.796,14.1,12.056,10.487,9.24
Q7o,51.789,33.127,23.957,18.576,15.014,12.493,10.581,9.168,8.016
Q6o,50.959,32.245,23.166,17.812,14.403,12.003,10.138,8.748,7.656
Q5o,50.206,31.331,22.327,17.255,13.839,11.495,9.735,8.455,7.386
Q4o,49.133,30.406,21.561,16.576,13.38,11.114,9.394,8.184,7.155
Q3o,48.251,29.482,20.862,15.998,12.892,10.738,9.133,7.955,6.929
Q2o,47.239,28.583,20.163,15.409,12.399,10.388,8.889,7.702,6.805
JTo,55.315,39.061,30.718,25.316,21.548,18.596,16.309,14.519,13.082
J9o,53.278,36.29,27.814,22.5,18.734,15.95,13.83,12.19,10.919
J8o,51.46,34.109,25.592,20.261,16.745,14.083,12.139,10.642,9.427
J7o,49.64,31.923,23.366,18.228,14.873,12.408,10.702,9.195,8.148
J6o,47.841,29.812,21.384,16.427,13.218,10.958,9.279,8.048,7.036
J5o,47.231,29.132,20.775,15.975,12.821,10.56,8.973,7.716,6.771
J4o,46.105,28.18,19.985,15.308,12.287,10.18,8.617,7.483,6.547
J3o,45.303,27.424,19.273,14.683,11.753,9.858,8.351,7.28,6.329
J2o,44.429,26.501,18.666,14.214,11.399,9.504,8.107,7.017,6.236
T9o,51.551,35.675,27.604,22.518,18.805,16.162,14.114,12.595,11.245
T8o,49.707,33.475,25.427,20.33,16.935,14.336,12.481,11.023,9.927
T7o,47.932,31.269,23.205,18.348,15.071,12.644,10.917,9.596,8.573
T6o,46.11,29.061,21.147,16.498,13.347,11.125,9.569,8.301,7.37
T5o,44.223,27.176,19.353,14.788,11.875,9.849,8.382,7.206,6.389
T4o,43.527,26.473,18.66,14.307,11.425,9.506,8.058,6.943,6.125
T3o,42.594,25.593,17.963,13.741,11.05,9.156,7.778,6.788,5.947
T2o,41.614,24.767,17.322,13.22,10.652,8.821,7.536,6.528,5.755
98o,48.058,32.86,24.99,20.066,16.605,14.203,12.324,10.921,9.828
97o,46.296,30.703,22.963,18.294,15.035,12.785,11.145,9.866,8.879
96o,44.512,28.628,21.113,16.461,13.475,11.371,9.777,8.573,7.692
95o,42.68,26.481,19.093,14.789,11.929,9.923,8.464,7.399,6.568
94o,40.694,24.52,17.279,13.212,10.5,8.704,7.348,6.371,5.527
93o,40.045,23.906,16.749,12.711,10.142,8.345,7.104,6.109,5.352
92o,39.078,23.044,16.148,12.2,9.752,8.037,6.81,5.926,5.209
87o,45.019,30.339,23.029,18.414,15.35,12.99,11.342,10.143,9.216
86o,43.24,28.393,21.24,16.819,13.892,11.775,10.316,9.161,8.324
85o,41.361,26.408,19.338,15.091,12.362,10.413,9.067,7.973,7.227
84o,39.445,24.364,17.413,13.413,10.817,9.091,7.774,6.842,6.091
83o,37.449,22.36,15.617,11.905,9.478,7.865,6.665,5.807,5.151
82o,36.773,21.705,15.093,11.46,9.159,7.567,6.447,5.587,4.973
76o,42.318,28.431,21.432,16.981,14.09,12.161,10.706,9.623,8.815
75o,40.522,26.537,19.669,15.478,12.832,10.999,9.695,8.712,7.927
74o,38.594,24.515,17.774,13.877,11.367,9.691,8.467,7.543,6.833
73o,36.577,22.467,15.984,12.241,9.92,8.356,7.235,6.323,5.724
72o,34.452,20.41,14.209,10.762,8.655,7.196,6.192,5.414,4.801
65o,39.93,26.622,19.973,15.842,13.227,11.478,10.187,9.171,8.382
64o,38.013,24.799,18.327,14.434,11.998,10.292,9.116,8.239,7.528
63o,36.088,22.761,16.396,12.822,10.545,9.016,7.935,7.106,6.492
62o,34.043,20.806,14.633,11.283,9.132,7.765,6.705,5.963,5.396
54o,38.101,25.263,18.9,15.068,12.611,10.987,9.831,8.915,8.175
53o,36.27,23.375,17.251,13.547,11.395,9.939,8.826,8.012,7.319
52o,34.268,21.531,15.407,12.044,9.955,8.595,7.637,6.88,6.284
43o,35.104,22.587,16.428,12.919,10.759,9.352,8.305,7.508,6.921
42o,33.208,20.661,14.765,11.539,9.568,8.235,7.331,6.615,6.033
32o,32.253,19.848,13.905,10.849,8.936,7.725,6.855,6.165,5.58
